Model,Year,Region,Color,Fuel_Type,Transmission,Engine_Size_L,Mileage_KM,Price_USD, Sales_Volume ,Sales_Classification,,,,
X1,2010,Europe,Black,Hybrid,Automatic,4.2,169645,92607,"5,138.00",Low,,,,
X3,2016,Asia,Grey,Diesel,Manual,2.6,90838,50890,"2,240.00",Low,,,,
X6,2018,North America,Blue,Hybrid,Manual,1.9,87417,104272,"9,662.00",High,,,,
7 Series,2024,Africa,Black,Electric,Manual,3.4,186427,118844,"7,526.00",High,,,,
X5,2021,Europe,Red,Petrol,Manual,4.7,77654,94772,"8,888.00",High,,,,
3 Series,2019,South America,Blue,Electric,Manual,4.7,48523,69238,665,Low,,,,
M3,2014,Asia,Grey,Hybrid,Manual,2.4,167514,85985,"9,521.00",High,,,,
7 Series,2021,Middle East,Red,Hybrid,Manual,4,149509,55599,"2,715.00",Low,,,,
X3,2011,South America,Blue,Hybrid,Automatic,1.6,190173,115791,"4,711.00",Low,,,,
i8,2019,South America,Black,Hybrid,Manual,2,182276,60293,396,Low,,,,
i8,2015,South America,Black,Electric,Automatic,3.2,111533,113751,"1,964.00",Low,,,,
3 Series,2021,North America,Black,Hybrid,Manual,2.3,160933,80924,"4,760.00",Low,,,,
X6,2021,North America,White,Diesel,Automatic,4.3,143423,98263,"8,000.00",High,,,,
X3,2016,Middle East,White,Hybrid,Manual,4.8,82957,106194,"6,391.00",Low,,,,
X6,2011,Africa,Silver,Electric,Automatic,1.5,13489,34363,"4,595.00",Low,,,,
X5,2011,Middle East,Grey,Electric,Automatic,2.3,3344,114003,"5,890.00",Low,,,,
X5,2019,Asia,Blue,Electric,Automatic,3,155528,55356,"8,209.00",High,,,,
3 Series,2024,North America,Silver,Electric,Automatic,3.5,180903,114075,"6,119.00",Low,,,,
7 Series,2023,Europe,Silver,Hybrid,Automatic,4.7,154147,30562,"1,772.00",Low,,,,
X1,2021,Middle East,Black,Diesel,Manual,4.6,86362,81055,"6,770.00",Low,,,,
i3,2019,Europe,Red,Hybrid,Automatic,3.7,103984,90879,"2,367.00",Low,,,,
i8,2010,North America,Silver,Diesel,Manual,2.4,187827,31561,"9,100.00",High,,,,
X1,2013,North America,Silver,Petrol,Manual,4.2,101584,109606,"5,197.00",Low,,,,
X1,2016,Asia,White,Hybrid,Manual,2.2,134174,109339,"5,580.00",Low,,,,
i8,2023,Africa,White,Petrol,Manual,4.9,73912,83131,"3,807.00",Low,,,,
X3,2018,Middle East,Silver,Hybrid,Automatic,1.5,21069,115343,"3,820.00",Low,,,,
3 Series,2024,Asia,Silver,Petrol,Automatic,3.5,86486,89979,"1,620.00",Low,,,,
3 Series,2012,Asia,Red,Electric,Automatic,1.8,184156,49374,"8,582.00",High,,,,
i8,2021,Asia,Black,Electric,Automatic,2.9,26214,116314,"7,086.00",High,,,,
X1,2020,North America,Black,Electric,Automatic,3.7,79566,39209,"6,822.00",Low,,,,
i3,2016,Middle East,Red,Hybrid,Manual,3.9,182702,60395,"4,744.00",Low,,,,
3 Series,2016,North America,White,Petrol,Automatic,4.2,147040,49406,"1,316.00",Low,,,,
5 Series,2016,South America,Grey,Electric,Manual,3.6,17339,64161,"3,830.00",Low,,,,
X1,2011,Europe,Black,Hybrid,Automatic,2.4,32504,80849,"4,836.00",Low,,,,
X3,2015,North America,Black,Electric,Automatic,4.6,143225,98686,"3,464.00",Low,,,,
7 Series,2011,Europe,Blue,Petrol,Automatic,4.3,194279,75470,"4,850.00",Low,,,,
M5,2015,Africa,Black,Electric,Automatic,2.1,40541,60178,"4,507.00",Low,,,,
M3,2022,South America,White,Electric,Manual,4.4,199957,74438,"3,432.00",Low,,,,
M3,2019,South America,Silver,Hybrid,Automatic,4.9,192797,88099,"1,482.00",Low,,,,
X5,2012,South America,Silver,Electric,Automatic,3.7,22943,63321,"2,058.00",Low,,,,
X3,2023,Africa,White,Petrol,Manual,2.5,31699,109550,"1,877.00",Low,,,,
X6,2011,Europe,White,Petrol,Automatic,3.6,27813,80619,"8,726.00",High,,,,
M3,2021,North America,White,Hybrid,Automatic,2.7,198394,77413,"8,924.00",High,,,,
X1,2024,Europe,White,Hybrid,Automatic,3.9,56449,49610,"1,508.00",Low,,,,
X3,2023,Europe,Red,Electric,Manual,3.4,169848,114783,"6,535.00",Low,,,,
X1,2015,Africa,Grey,Diesel,Automatic,4.8,130270,112115,"9,304.00",High,,,,
3 Series,2011,North America,Black,Diesel,Automatic,3.7,72255,48090,"6,473.00",Low,,,,
i8,2014,South America,Silver,Petrol,Automatic,2.2,67577,112561,"8,423.00",High,,,,
M5,2011,Europe,Grey,Electric,Manual,4,65201,79613,605,Low,,,,
M5,2012,North America,White,Diesel,Manual,2.6,28342,69315,"9,417.00",High,,,,
X1,2012,Asia,White,Electric,Automatic,2.5,115202,55781,"5,394.00",Low,,,,
i3,2015,Africa,Red,Petrol,Manual,2.9,189882,89751,"4,667.00",Low,,,,
M5,2015,Middle East,Red,Electric,Automatic,1.5,30867,64710,"7,144.00",High,,,,
M5,2019,Middle East,Blue,Diesel,Automatic,4.9,33890,80362,"7,239.00",High,,,,
X5,2012,North America,Blue,Diesel,Manual,3.4,107965,59890,"5,738.00",Low,,,,
X5,2012,Europe,Blue,Petrol,Automatic,4.2,18878,54193,"1,515.00",Low,,,,
M5,2022,Africa,Blue,Electric,Automatic,2.4,101906,35408,"3,577.00",Low,,,,
M5,2021,North America,Red,Diesel,Automatic,4.1,115589,85023,"9,589.00",High,,,,
X1,2022,Africa,Black,Hybrid,Manual,3.5,154058,34244,"3,239.00",Low,,,,
i8,2010,Europe,Grey,Hybrid,Manual,3,147244,58645,"3,572.00",Low,,,,
X1,2016,South America,Silver,Petrol,Automatic,4.9,122949,59976,"4,279.00",Low,,,,
5 Series,2022,Asia,Blue,Hybrid,Automatic,3.2,155601,46313,"3,265.00",Low,,,,
X1,2017,Middle East,Grey,Hybrid,Automatic,3.8,9710,70604,"1,809.00",Low,,,,
7 Series,2011,Asia,Blue,Petrol,Manual,1.6,3149,67245,"7,146.00",High,,,,
X3,2013,Middle East,White,Hybrid,Automatic,2.6,93197,118854,"4,006.00",Low,,,,
X5,2019,Middle East,Blue,Diesel,Automatic,4.6,33984,35088,"9,779.00",High,,,,
3 Series,2016,North America,Black,Hybrid,Automatic,4.2,145845,62753,"1,221.00",Low,,,,
X3,2017,South America,Red,Diesel,Manual,3.4,108924,51628,"5,575.00",Low,,,,
X6,2010,South America,Black,Diesel,Manual,4.7,129872,60159,"2,387.00",Low,,,,
5 Series,2013,North America,Red,Petrol,Manual,3.2,56507,55920,319,Low,,,,
5 Series,2015,Europe,Red,Hybrid,Manual,3.5,5965,37182,"4,609.00",Low,,,,
X6,2012,South America,Grey,Electric,Manual,2.8,95262,63852,"2,425.00",Low,,,,
X3,2014,Europe,White,Diesel,Automatic,3.7,27180,94033,"8,158.00",High,,,,
X5,2019,Asia,Blue,Hybrid,Manual,2.6,187593,116745,"9,471.00",High,,,,
7 Series,2018,Asia,Blue,Hybrid,Automatic,2.8,42725,88388,"9,297.00",High,,,,
i8,2020,Europe,White,Diesel,Automatic,4.9,193760,35265,"8,922.00",High,,,,
X3,2022,Europe,Black,Diesel,Automatic,1.9,23364,109859,"6,457.00",Low,,,,
i3,2012,Africa,Black,Electric,Manual,1.9,82511,41786,"8,177.00",High,,,,
5 Series,2014,Asia,White,Hybrid,Manual,1.7,152595,96828,"2,095.00",Low,,,,
X6,2017,South America,White,Diesel,Manual,2.6,128935,65083,"9,760.00",High,,,,
M5,2015,Europe,Red,Petrol,Automatic,2.9,159184,53775,"2,519.00",Low,,,,
7 Series,2013,South America,Blue,Petrol,Manual,1.8,102577,35662,878,Low,,,,
X5,2017,South America,Grey,Hybrid,Automatic,3.4,102321,89406,793,Low,,,,
X1,2020,Europe,Red,Petrol,Automatic,3.5,85768,112298,"1,900.00",Low,,,,
X6,2012,Africa,Blue,Diesel,Automatic,4.1,170597,74000,"3,739.00",Low,,,,
X3,2012,Asia,Blue,Electric,Manual,4.9,87017,64098,"1,506.00",Low,,,,
X6,2013,Africa,Grey,Hybrid,Automatic,3.7,79048,52158,"2,229.00",Low,,,,
M3,2018,Africa,Grey,Electric,Manual,1.9,178510,32919,"9,258.00",High,,,,
i8,2014,South America,Black,Hybrid,Manual,1.8,80173,63285,"7,763.00",High,,,,
X3,2017,Europe,Silver,Diesel,Automatic,4.2,45133,106816,"1,322.00",Low,,,,
i8,2015,Europe,Red,Hybrid,Manual,3.8,166536,53268,"7,246.00",High,,,,
i8,2012,Middle East,Silver,Electric,Manual,2.1,8608,80107,"8,574.00",High,,,,
M3,2024,North America,Grey,Petrol,Manual,2.4,152632,106746,"1,092.00",Low,,,,
X5,2017,South America,White,Hybrid,Manual,4.1,21236,43521,"8,220.00",High,,,,
i3,2021,Africa,White,Diesel,Manual,3.5,104190,89905,"4,852.00",Low,,,,
i8,2018,Middle East,White,Diesel,Automatic,3.5,85662,68543,"5,553.00",Low,,,,
i3,2017,North America,Grey,Diesel,Automatic,2.2,31689,46839,100,Low,,,,
X5,2022,North America,White,Electric,Automatic,3.7,94153,39488,"9,899.00",High,,,,
M5,2013,Middle East,Black,Electric,Automatic,4.2,38650,87585,"2,992.00",Low,,,,
i3,2023,Middle East,Blue,Petrol,Automatic,4.6,131366,70398,"6,467.00",Low,,,,
M3,2023,North America,Silver,Electric,Manual,4.1,120500,109226,"2,337.00",Low,,,,
X6,2022,Asia,Blue,Petrol,Manual,3.5,53600,66344,"3,816.00",Low,,,,
3 Series,2020,Africa,Grey,Electric,Automatic,3.9,50544,91690,"7,936.00",High,,,,
i8,2015,South America,Silver,Petrol,Manual,3.2,98641,52407,"8,520.00",High,,,,
X1,2010,South America,White,Electric,Automatic,2.3,196211,39872,"5,109.00",Low,,,,
i8,2013,Africa,White,Hybrid,Manual,4.6,84299,100773,"7,395.00",High,,,,
i8,2017,South America,Silver,Hybrid,Manual,3.4,188888,53665,"1,075.00",Low,,,,
i3,2010,Middle East,Blue,Electric,Manual,3.6,17215,40835,"6,098.00",Low,,,,
M3,2012,South America,Black,Petrol,Manual,5,189301,51961,"3,641.00",Low,,,,
X5,2010,North America,Silver,Electric,Automatic,4.9,123930,109430,"5,549.00",Low,,,,
3 Series,2018,Africa,Silver,Petrol,Automatic,3.6,107112,84019,"8,482.00",High,,,,
X6,2011,Europe,Blue,Electric,Automatic,1.6,98548,34236,"7,515.00",High,,,,
X1,2018,South America,Blue,Electric,Manual,2.9,66224,64135,"7,347.00",High,,,,
X6,2022,Asia,Blue,Petrol,Automatic,4.8,26815,101035,"5,951.00",Low,,,,
X3,2013,North America,Black,Electric,Manual,2.5,192716,93391,"7,903.00",High,,,,
i3,2011,South America,Grey,Electric,Automatic,5,119358,50983,"1,444.00",Low,,,,
7 Series,2013,Africa,Silver,Electric,Automatic,1.8,90736,39879,"3,094.00",Low,,,,
i3,2021,South America,White,Diesel,Manual,3.5,40341,52629,"3,741.00",Low,,,,
M3,2020,South America,Grey,Electric,Automatic,3.3,110593,43689,510,Low,,,,
i3,2020,South America,White,Hybrid,Manual,2.4,183151,73208,"5,967.00",Low,,,,
M3,2019,Middle East,Blue,Diesel,Automatic,4.8,39118,80420,"7,314.00",High,,,,
M5,2015,Asia,Red,Hybrid,Manual,3.7,188054,48895,"4,849.00",Low,,,,
X1,2024,North America,White,Electric,Manual,2.3,132413,94875,150,Low,,,,
M5,2020,South America,White,Petrol,Automatic,2.8,127756,110067,"2,096.00",Low,,,,
i8,2016,South America,Red,Electric,Automatic,4,160632,54434,"6,882.00",Low,,,,
X6,2012,Africa,Blue,Hybrid,Manual,2.5,178284,110043,"4,937.00",Low,,,,
i3,2012,Africa,Red,Diesel,Manual,4.6,100654,75009,"8,307.00",High,,,,
i8,2021,Africa,Blue,Diesel,Automatic,2.1,93708,33804,"8,879.00",High,,,,
i8,2019,Asia,Blue,Petrol,Automatic,2.4,176282,51166,"6,540.00",Low,,,,
X1,2021,South America,Black,Hybrid,Automatic,2,160873,77929,"6,561.00",Low,,,,
M3,2017,Asia,Silver,Petrol,Manual,1.9,178128,68328,"4,924.00",Low,,,,
3 Series,2014,South America,Black,Petrol,Automatic,2.6,144798,86024,"3,418.00",Low,,,,
X3,2013,Middle East,Blue,Diesel,Manual,5,197465,59699,528,Low,,,,
X5,2016,Europe,Grey,Diesel,Automatic,1.8,21013,105965,"1,091.00",Low,,,,
5 Series,2016,Africa,White,Hybrid,Automatic,2.2,188392,81369,"2,709.00",Low,,,,
X3,2022,Europe,White,Hybrid,Manual,2.5,59711,118387,"9,615.00",High,,,,
5 Series,2018,South America,Black,Diesel,Automatic,3.7,22205,56431,"8,974.00",High,,,,
X1,2018,North America,White,Electric,Manual,4.1,987,74259,"4,861.00",Low,,,,
i8,2014,Middle East,Silver,Petrol,Automatic,4.1,152566,105660,"4,445.00",Low,,,,
X3,2022,Asia,Silver,Electric,Manual,1.5,51689,119768,"1,231.00",Low,,,,
X6,2021,Middle East,Red,Hybrid,Automatic,3.8,5166,99788,"5,770.00",Low,,,,
M5,2022,North America,Grey,Diesel,Automatic,3.7,188416,98665,"4,534.00",Low,,,,
X1,2017,Europe,Blue,Diesel,Automatic,3.3,84931,105690,"6,815.00",Low,,,,
X5,2019,North America,Red,Diesel,Automatic,2.8,3535,42097,"2,302.00",Low,,,,
3 Series,2010,Africa,Red,Petrol,Manual,4.3,113834,112803,"8,470.00",High,,,,
X1,2018,Europe,Grey,Electric,Automatic,2.7,173480,35826,"8,785.00",High,,,,
M3,2017,North America,Black,Hybrid,Manual,2.3,117219,117271,"1,065.00",Low,,,,
X5,2015,South America,Blue,Petrol,Manual,2.6,55693,84890,"6,550.00",Low,,,,
i8,2022,Africa,Black,Petrol,Automatic,3,6378,82477,"7,963.00",High,,,,
5 Series,2012,Africa,White,Petrol,Manual,2.2,181762,34172,"7,486.00",High,,,,
i3,2012,Middle East,White,Diesel,Automatic,3.6,16192,49503,"6,625.00",Low,,,,
X3,2017,Africa,Silver,Diesel,Automatic,4.6,191787,106961,"4,514.00",Low,,,,
X3,2014,Africa,Black,Petrol,Automatic,3.6,120967,72300,"1,009.00",Low,,,,
3 Series,2019,Middle East,Black,Diesel,Manual,3.1,183380,110580,"1,492.00",Low,,,,
X6,2020,Africa,White,Petrol,Automatic,4.3,111933,66302,"8,439.00",High,,,,
5 Series,2023,Asia,Red,Hybrid,Manual,4.1,165633,95485,"4,883.00",Low,,,,
M3,2016,Africa,Red,Electric,Automatic,2.8,30795,106216,"7,591.00",High,,,,
i3,2014,Asia,Silver,Hybrid,Manual,3.6,65229,80860,"8,374.00",High,,,,
i3,2017,Middle East,Grey,Petrol,Manual,4.1,119893,102195,447,Low,,,,
7 Series,2019,Europe,Black,Diesel,Manual,2.4,46992,67551,"6,307.00",Low,,,,
3 Series,2019,South America,Silver,Hybrid,Manual,2.8,7356,68121,"9,458.00",High,,,,
X5,2013,Asia,Silver,Hybrid,Manual,1.9,22790,56729,"2,217.00",Low,,,,
M3,2011,North America,Grey,Electric,Automatic,5,155425,77303,"3,434.00",Low,,,,
i8,2012,South America,Grey,Petrol,Automatic,1.8,73749,39352,"1,762.00",Low,,,,
5 Series,2017,Asia,Blue,Diesel,Manual,2.1,111509,49762,"4,727.00",Low,,,,
X1,2024,Asia,Black,Diesel,Manual,3.2,163711,77230,"6,202.00",Low,,,,
X3,2020,South America,Red,Petrol,Automatic,4.5,184828,103848,"5,050.00",Low,,,,
i8,2022,Europe,Silver,Petrol,Automatic,2.7,111628,101076,"8,497.00",High,,,,
i8,2016,North America,Black,Electric,Manual,4.2,67820,119113,"3,375.00",Low,,,,
M3,2022,Asia,Red,Petrol,Manual,3.9,140997,36584,"2,425.00",Low,,,,
X1,2011,South America,Blue,Electric,Manual,3.7,182910,53074,"5,393.00",Low,,,,
X1,2015,Africa,Red,Electric,Manual,4.5,110635,70524,"1,261.00",Low,,,,
3 Series,2018,Asia,Grey,Diesel,Manual,1.5,139166,46674,"8,441.00",High,,,,
X6,2024,Africa,White,Petrol,Automatic,4.8,139544,31056,131,Low,,,,
X1,2013,Africa,Silver,Electric,Automatic,4.4,93535,77249,"1,313.00",Low,,,,
X3,2018,Asia,White,Diesel,Automatic,4.8,82998,91802,"6,602.00",Low,,,,
M5,2011,South America,Silver,Hybrid,Automatic,4.3,32284,34174,"7,892.00",High,,,,
X1,2011,Europe,Silver,Electric,Manual,4.6,177903,88424,710,Low,,,,
X6,2018,Middle East,White,Hybrid,Automatic,2.2,136994,90295,"9,757.00",High,,,,
i8,2021,Africa,Red,Hybrid,Manual,2.6,35919,89547,"7,973.00",High,,,,
M3,2016,Asia,Black,Petrol,Automatic,2.6,187900,80512,"4,915.00",Low,,,,
i3,2016,Africa,Blue,Electric,Manual,1.9,64075,59979,"6,682.00",Low,,,,
i3,2010,North America,Red,Diesel,Automatic,4.1,11609,46434,"2,833.00",Low,,,,
M3,2022,South America,Grey,Petrol,Manual,2,3574,80191,"5,333.00",Low,,,,
5 Series,2020,Africa,Blue,Petrol,Manual,1.7,142734,101664,"1,642.00",Low,,,,
i8,2015,Asia,Blue,Diesel,Automatic,4.2,76592,87021,"1,740.00",Low,,,,
7 Series,2022,Europe,Black,Electric,Manual,4.7,182985,36572,"1,133.00",Low,,,,
i3,2016,Asia,White,Diesel,Manual,4.2,106021,36717,"9,436.00",High,,,,
i8,2020,Europe,Black,Electric,Automatic,4.4,178287,56130,698,Low,,,,
M5,2023,Middle East,Red,Electric,Manual,3.6,145675,72048,"4,755.00",Low,,,,
X1,2015,Asia,Silver,Diesel,Manual,4.6,165179,108251,"1,684.00",Low,,,,
X1,2015,Asia,Blue,Diesel,Manual,3.2,9429,115615,"9,780.00",High,,,,
7 Series,2011,South America,Grey,Hybrid,Automatic,5,24255,61044,"1,256.00",Low,,,,
3 Series,2015,South America,Silver,Electric,Manual,1.9,91642,83963,"8,221.00",High,,,,
M5,2013,Africa,Black,Hybrid,Manual,4.3,184334,89249,"5,076.00",Low,,,,
i3,2018,South America,Silver,Petrol,Manual,3.7,83747,58991,"6,659.00",Low,,,,
M5,2024,Asia,Red,Diesel,Manual,3.5,64504,74707,246,Low,,,,
5 Series,2021,South America,Grey,Electric,Manual,4,105028,53367,"2,478.00",Low,,,,
X5,2010,North America,Silver,Diesel,Manual,4.4,52976,80838,"4,866.00",Low,,,,
i3,2022,Middle East,Red,Diesel,Automatic,4.5,70826,67939,"7,335.00",High,,,,
M3,2017,South America,Red,Diesel,Automatic,2.1,60690,58558,"8,379.00",High,,,,
i8,2014,North America,Black,Hybrid,Manual,2.2,92749,108009,"4,776.00",Low,,,,
X5,2010,Asia,Black,Hybrid,Automatic,1.6,165210,37004,"2,977.00",Low,,,,
X1,2013,North America,Red,Petrol,Automatic,2,18551,38404,262,Low,,,,
5 Series,2010,Middle East,Red,Diesel,Manual,2.4,127257,36104,833,Low,,,,
5 Series,2015,Africa,Silver,Hybrid,Manual,4,21718,79572,"2,362.00",Low,,,,
X6,2011,North America,Blue,Petrol,Manual,3.2,172529,115669,"8,958.00",High,,,,
i3,2024,South America,White,Electric,Automatic,4.2,84327,52615,"6,462.00",Low,,,,
X6,2014,Europe,Red,Diesel,Manual,3.2,102179,102814,"6,871.00",Low,,,,
M5,2016,Middle East,Black,Diesel,Automatic,3.4,102338,90346,"5,326.00",Low,,,,
i8,2011,Middle East,Black,Petrol,Manual,1.9,117571,112861,"3,898.00",Low,,,,
7 Series,2015,Asia,Red,Hybrid,Automatic,4.2,151454,93461,351,Low,,,,
5 Series,2015,Europe,Grey,Diesel,Manual,4.2,149288,92338,"2,880.00",Low,,,,
3 Series,2014,North America,Black,Diesel,Manual,2.6,76443,37083,"7,090.00",High,,,,
7 Series,2014,North America,White,Hybrid,Manual,2.7,40423,117817,"9,229.00",High,,,,
i3,2023,Europe,Grey,Hybrid,Manual,2.3,93898,34721,"2,432.00",Low,,,,
3 Series,2012,North America,Grey,Electric,Automatic,4.3,51118,40230,"4,898.00",Low,,,,
X6,2024,Middle East,Red,Petrol,Automatic,4.1,1463,96230,"6,012.00",Low,,,,
3 Series,2019,Middle East,Grey,Electric,Automatic,3.6,58090,84661,"9,821.00",High,,,,
M3,2024,South America,Blue,Hybrid,Automatic,2.3,19407,94284,"9,491.00",High,,,,
5 Series,2019,Middle East,White,Electric,Automatic,2.1,175388,58548,"1,161.00",Low,,,,
X6,2020,North America,Red,Hybrid,Manual,1.7,126292,84693,"8,177.00",High,,,,
X5,2021,Africa,Black,Electric,Automatic,1.7,151693,100426,"8,274.00",High,,,,
X1,2011,South America,Silver,Petrol,Automatic,2.2,154255,47616,"8,854.00",High,,,,
7 Series,2016,South America,Red,Hybrid,Manual,1.9,45530,103955,"9,264.00",High,,,,
X5,2010,Middle East,White,Petrol,Automatic,3.4,120823,45578,"1,576.00",Low,,,,
X1,2015,Europe,Silver,Hybrid,Automatic,2.8,196891,86676,"7,957.00",High,,,,
7 Series,2015,Asia,Silver,Petrol,Manual,3.1,133837,92248,"5,492.00",Low,,,,
5 Series,2012,Asia,Silver,Diesel,Manual,3.6,19491,102538,"6,891.00",Low,,,,
3 Series,2011,South America,Blue,Electric,Automatic,3.8,161161,89473,"4,585.00",Low,,,,
7 Series,2021,Middle East,Grey,Petrol,Manual,3.8,166069,115627,"5,253.00",Low,,,,
M3,2011,Africa,Silver,Petrol,Manual,2.4,75144,60869,"9,261.00",High,,,,
i3,2023,North America,Red,Hybrid,Automatic,4.3,75995,45532,"9,463.00",High,,,,
3 Series,2022,Asia,White,Petrol,Manual,4.7,143741,116221,"8,639.00",High,,,,
5 Series,2018,Middle East,Red,Electric,Automatic,2.6,13759,105884,"2,417.00",Low,,,,
M5,2020,Asia,White,Diesel,Manual,1.6,191570,78719,"2,109.00",Low,,,,
i3,2014,Middle East,White,Hybrid,Automatic,4.6,52280,53512,"5,205.00",Low,,,,
M5,2016,Middle East,Grey,Hybrid,Automatic,4.7,105036,71813,"8,257.00",High,,,,
3 Series,2021,South America,Silver,Hybrid,Manual,1.7,126842,86864,345,Low,,,,
M3,2014,Middle East,Blue,Petrol,Manual,1.5,169911,99564,"1,931.00",Low,,,,
i3,2016,North America,Black,Hybrid,Automatic,4.4,36790,61218,"5,639.00",Low,,,,
M5,2022,North America,Red,Hybrid,Automatic,2.6,7012,43072,982,Low,,,,
i3,2013,North America,Blue,Petrol,Manual,4.7,45862,70127,"5,361.00",Low,,,,
3 Series,2017,Africa,Blue,Electric,Automatic,2.3,26419,30446,"1,048.00",Low,,,,
X5,2022,Africa,Grey,Electric,Manual,4.5,14654,62570,679,Low,,,,
M5,2020,North America,Black,Petrol,Manual,1.7,18748,34636,"6,918.00",Low,,,,
7 Series,2023,Asia,Red,Hybrid,Manual,2.4,161819,41865,"4,551.00",Low,,,,
7 Series,2019,Africa,Red,Diesel,Automatic,4.9,81933,63707,"2,303.00",Low,,,,
M5,2022,Middle East,Black,Petrol,Manual,2.3,34468,35073,"7,561.00",High,,,,
i8,2020,Middle East,Grey,Electric,Manual,2,83567,68197,646,Low,,,,
X1,2019,Europe,Silver,Diesel,Manual,4.5,127667,53135,"6,697.00",Low,,,,
i3,2016,Middle East,Blue,Diesel,Manual,1.9,43230,53149,"4,012.00",Low,,,,
M5,2019,South America,Silver,Petrol,Manual,1.8,109824,85402,"1,882.00",Low,,,,
X6,2024,Africa,Red,Petrol,Automatic,2.6,58327,102836,"5,676.00",Low,,,,
M3,2014,Asia,Grey,Diesel,Manual,3.7,95285,111875,"8,929.00",High,,,,
X3,2020,Middle East,Blue,Electric,Automatic,4,77485,91135,"8,068.00",High,,,,
i8,2015,South America,Red,Hybrid,Manual,4.6,41434,72819,"9,330.00",High,,,,
X6,2014,Asia,White,Diesel,Manual,3.4,180175,85972,"2,950.00",Low,,,,
3 Series,2016,Asia,Black,Petrol,Manual,2.9,169044,102573,"1,105.00",Low,,,,
M5,2021,Asia,Silver,Diesel,Manual,2.8,198391,99079,"7,097.00",High,,,,
M5,2011,North America,Silver,Hybrid,Manual,4.5,184446,86627,"7,825.00",High,,,,
3 Series,2014,South America,Grey,Hybrid,Manual,4,8385,79293,"2,588.00",Low,,,,
M3,2024,South America,Silver,Diesel,Manual,4.7,26580,63095,"6,011.00",Low,,,,
X1,2019,Europe,Silver,Diesel,Manual,4.9,67684,98732,"7,572.00",High,,,,
X1,2024,Middle East,Grey,Electric,Automatic,2.6,144454,82130,"6,384.00",Low,,,,
M5,2012,Middle East,Grey,Petrol,Automatic,3.4,25665,112914,"1,924.00",Low,,,,
i8,2018,Europe,Blue,Electric,Automatic,3.7,164736,93892,"1,427.00",Low,,,,
i3,2022,Middle East,Red,Hybrid,Automatic,2.1,182402,105633,"9,144.00",High,,,,
X5,2015,Europe,White,Electric,Manual,1.7,136192,59772,"6,800.00",Low,,,,
i3,2022,Middle East,Black,Petrol,Manual,4.5,18466,90796,"1,002.00",Low,,,,
X6,2019,North America,Silver,Diesel,Automatic,3.4,41743,30043,"9,968.00",High,,,,
M3,2012,Asia,Grey,Hybrid,Manual,3.5,111090,63651,"3,094.00",Low,,,,
5 Series,2016,North America,Grey,Electric,Manual,3.4,190100,51847,"7,569.00",High,,,,
X3,2013,Middle East,Silver,Hybrid,Manual,4.1,189426,51091,"7,190.00",High,,,,
7 Series,2023,Europe,Silver,Diesel,Manual,2,68868,117456,"3,861.00",Low,,,,
7 Series,2012,Asia,Grey,Hybrid,Automatic,3.6,194553,75670,"6,372.00",Low,,,,
3 Series,2017,Africa,Grey,Electric,Manual,3.1,107806,59577,"2,695.00",Low,,,,
X1,2022,Middle East,White,Electric,Automatic,4.6,98042,32478,"5,084.00",Low,,,,
3 Series,2013,Asia,Black,Hybrid,Automatic,3.3,78937,102166,"2,380.00",Low,,,,
M3,2020,Europe,Grey,Diesel,Automatic,4.8,107776,88743,"2,449.00",Low,,,,
5 Series,2010,Asia,Grey,Diesel,Manual,2.7,36566,36447,"7,430.00",High,,,,
M5,2015,Europe,White,Electric,Manual,4.9,169503,99137,"5,859.00",Low,,,,
5 Series,2019,North America,Black,Petrol,Manual,4.6,69060,32200,"1,634.00",Low,,,,
X6,2020,Europe,Blue,Petrol,Automatic,3.5,92755,91528,"3,644.00",Low,,,,
7 Series,2020,North America,Grey,Petrol,Manual,2.7,19547,87370,"4,066.00",Low,,,,
X5,2010,North America,Red,Petrol,Manual,2.8,107910,40437,"5,946.00",Low,,,,
3 Series,2014,Africa,Black,Hybrid,Manual,4.2,69068,38532,"9,011.00",High,,,,
i3,2016,Africa,Silver,Hybrid,Automatic,3.5,193823,76125,"3,188.00",Low,,,,
i8,2024,Asia,Silver,Hybrid,Automatic,2.9,118801,56783,"6,131.00",Low,,,,
M5,2015,North America,White,Electric,Automatic,3.7,30893,33795,"3,923.00",Low,,,,
M5,2023,North America,Red,Hybrid,Manual,4.1,11116,52068,"5,062.00",Low,,,,
7 Series,2011,South America,Grey,Electric,Automatic,1.6,157916,35929,"4,033.00",Low,,,,
M3,2020,Africa,Red,Electric,Automatic,1.8,121683,68852,"1,292.00",Low,,,,
i8,2013,Asia,Silver,Diesel,Automatic,1.8,174361,63806,"8,466.00",High,,,,
7 Series,2020,Africa,White,Petrol,Manual,2.3,105340,81286,"8,121.00",High,,,,
3 Series,2024,South America,Silver,Hybrid,Manual,3,99969,35336,"7,709.00",High,,,,
7 Series,2011,South America,Silver,Electric,Manual,4.3,10218,68910,"5,271.00",Low,,,,
X6,2020,South America,Black,Hybrid,Automatic,2.7,106937,78273,"4,121.00",Low,,,,
i3,2010,Europe,Black,Petrol,Automatic,1.6,82529,51582,267,Low,,,,
X3,2024,Europe,Blue,Petrol,Manual,3.2,6623,71303,"5,491.00",Low,,,,
7 Series,2012,North America,Black,Petrol,Automatic,5,186776,44892,"4,729.00",Low,,,,
